experiment_automatization/summary_files_only/summary_first_results_with_configuration_really_tested.csv:31:220220-0-0,[2- 2- 0- 2- 2- 0- 0- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 0- 1363200- 1363200- 0- 0- 0- 0- 0- 0- 0- 0],[2- 2- 0- 2- 2- 0- 0- 0],[1363200- 1363200- 0- 1363200- 1363200- 0- 0- 0],26.274511449565598,800.2663162715285,1.63388e+11,1.60811e-10
experiment_automatization/summary_files_only/summary_fourth_experiments__31Jul22_22_49_44_with_configuration_really_tested.csv:12:110111-0-0,[1- 1- 0- 1- 1- 1- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 0- 576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 1- 0- 1- 1- 1- 0- 0],[576000- 576000- 0- 576000- 576000- 576000- 0- 0],26.7121133566337,809.085756656435,207423000000,1.28781E-10
experiment_automatization/summary_files_only/summary_fourth_experiments__31Jul22_22_49_44_with_configuration_really_tested.csv:50:033330-0-0,[0- 3- 3- 3- 3- 0- 0- 0- 0- 0- 0- 0- 0],[0- 1804800- 1804800- 1804800- 1804800- 0- 0- 0- 0- 0- 0- 0- 0],[0- 3- 3- 3- 3- 0- 0- 0],[0- 1804800- 1804800- 1804800- 1804800- 0- 0- 0],26.7184846004408,800.836388138237,163295000000,1.63621E-10
experiment_automatization/summary_files_only/summary_google_pixel_varying_frequency_with_configuration_really_tested.csv:9:111000-0-0,[1- 1- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 1- 1- 0- 0- 0- 0- 0],[576000- 576000- 576000- 0- 0- 0- 0- 0],26.06077,783.2,229160700000.0,1.1372268456153259e-10
experiment_automatization/summary_files_only/summary_first_results_with_configuration_really_tested.csv:32:110011-0-0,[1- 1- 0- 0- 1- 1- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 0- 0- 576000- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 1- 0- 0- 1- 1- 0- 0],[576000- 576000- 0- 0- 576000- 576000- 0- 0],27.241716653761866,811.7705678133253,1.63547e+11,1.66568e-10
experiment_automatization/summary_files_only/summary_fourth_experiments__31Jul22_22_49_44_with_configuration_really_tested.csv:71:111011-0-0,[1- 1- 1- 0- 1- 1- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 576000- 0- 576000- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 1- 1- 0- 1- 1- 0- 0],[576000- 576000- 576000- 0- 576000- 576000- 0- 0],28.6387646642511,860.523725575247,206752000000,1.38517E-10
experiment_automatization/summary_files_only/summary_google_pixel_varying_frequency_with_configuration_really_tested.csv:7:220000-0-0,[2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[2- 2- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 0- 0- 0- 0- 0- 0],28.50231,854.14,261014000000.0,1.0919839548836461e-10
experiment_automatization/summary_files_only/summary_google_pixel_varying_frequency_with_configuration_really_tested.csv:14:100000-1-0,[1- 0- 0- 0- 0- 0- 1- 0- 0- 0- 0- 0- 0],[576000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 0- 0- 0- 0- 0- 1- 0],[576000- 0- 0- 0- 0- 0- 652800- 0],28.15818,845.63,279024200000.0,1.0091662300259261e-10
experiment_automatization/summary_files_only/summary_google_pixel_varying_frequency_with_configuration_really_tested.csv:5:300000-0-0,[3- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1804800- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[3- 0- 0- 0- 0- 0- 0- 0],[1804800- 0- 0- 0- 0- 0- 0- 0],29.19724,876.8,160362534000.0,1.8207020849396157e-10
experiment_automatization/summary_files_only/summary_google_pixel_varying_number_of_threads_with_configuration_really_tested.csv:3:300000-0-0,[3- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1804800- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[3- 0- 0- 0- 0- 0- 0- 0],[1804800- 0- 0- 0- 0- 0- 0- 0],29.19724,879.245,160362000000.0,1.8207081478155673e-10
experiment_automatization/summary_files_only/summary_third_result_cleaned_with_configuration_really_tested.csv:47:222222-2-0,[2- 2- 2- 2- 2- 2- 2- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 1363200- 1363200- 1363200- 1363200- 0- 0- 0- 0- 0- 0- 0],[2- 2- 2- 2- 2- 2- 2- 0],[1363200- 1363200- 1363200- 1363200- 1363200- 1363200- 1478400- 0],20.2730896056071,601.322801773606,1011640000000,2.00398E-11
experiment_automatization/summary_files_only/summary_fifth_experiments_02Aug22_05_37_44_with_configuration_really_tested.csv:5:101110-1-0,[1- 0- 1- 1- 1- 0- 1- 0- 0- 0- 0- 0- 0],[576000- 0- 576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0- 0],[1- 0- 1- 1- 1- 0- 1- 0],[576000- 0- 576000- 576000- 576000- 0- 652800- 0],30.700472577378978,933.3315457765137,3.41257e+11,8.99629e-11
experiment_automatization/summary_files_only/summary_google_pixel_varying_frequency_with_configuration_really_tested.csv:17:000000-1-0,[0- 0- 0- 0- 0- 0- 1- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 0- 0- 1- 0],[0- 0- 0- 0- 0- 0- 652800- 0],30.05234,899.02,255406809999.99997,1.176645994678059e-10
experiment_automatization/summary_files_only/summary_second_results_with_configuration_really_tested.csv:21:001011-1-0,[0- 0- 1- 0- 1- 1- 1- 0- 0- 0- 0- 0- 0],[0- 0- 576000- 0- 576000- 576000- 0- 0- 0- 0- 0- 0- 0],[0- 0- 1- 0- 1- 1- 1- 0],[0- 0- 576000- 0- 576000- 576000- 652800- 0],30.734807722364668,925.9066087568908,2.96054e+11,1.03815e-10
